name	description	cloneof	year	players	ctrltype	manufacturer	category	orientation	ctrltype2	joyways	buttons
slammast	Saturday Night Slam Masters		1993	4	8 way	Capcom	arcade	horizontal	joy	8	3
slapfigh	Slap Fight	alcon	1986	2	8 way	Toaplan	arcade	vertical	joy	8	2
slipstrm	Slip Stream		1995	1	analog	Capcom	arcade	horizontal	paddle+pedal		1
slyspy	Sly Spy	secretag	1989	2	8 way	Data East	arcade	horizontal	joy	8	2
smashtv	Smash T.V.		1990	2	twin stick	Williams	arcade	horizontal	doublejoy	8	
smgp	Super Monaco GP (World, Rev B)		1989	1	analog	SEGA	arcade	horizontal	paddle+pedal		2
snowbro2	Snow Bros. 2: With New Elves		1994	4	8 way	Toaplan	arcade	horizontal	joy	8	2
snowbros	Snow Bros. 1: Nick & Tom		1990	2	8 way	Toaplan	arcade	horizontal	joy	8	3
socbrawl	Soccer Brawl		1991	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
sokyugrt	Terra Driver		1996	4	8 way	Raizing	arcade	horizontal	joy	8	4
soldivid	Sol Divide: The Sword Of Darkness		1997	2	8 way	Psikyo	arcade	horizontal	joy	8	3
solomon	Solomon's Key		1986	2	8 way	Tecmo	arcade	horizontal	joy	8	2
Sonic CD	Sonic CD		1993	1	8 way	SEGA	console	horizontal			
Sonic The Hedgehog I	Sonic The Hedgehog I		1991	1	8 way	SEGA	console	horizontal			
Sonic The Hedgehog II	Sonic The Hedgehog II		1992	2	8 way	SEGA	console	horizontal			
Sonic The Hedgehog III	Sonic The Hedgehog III		1994	2	8 way	SEGA	console	horizontal			
sonicwi2	Aero Fighters 2		1994	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
sonicwi3	Aero Fighters 3		1995	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
sonson	Son Son		1984	2	4 way	Capcom	arcade	horizontal	joy	4	1
Soul Calibur	Soul Calibur		1999	2	8 way	SEGA	console	horizontal			
Soul Calibur II	Soul Calibur II		2002	2	8 way	Other	console	horizontal			
soulclbr	Soul Calibur		1998	2	8 way	Namco	arcade	horizontal	joy	8	6
Space Ace	Space Ace		1983	1	4 way	Cinematronics	arcade	horizontal	joy	8	1
spacedx	Space Invaders 3 DX		1994	4	8 way	Taito	arcade	horizontal	joy	8	3
spacegun	Space Gun		1990	2	lightgun	Taito	arcade	horizontal	stick		3
spang	Super Pang		1990	2	4 way	Capcom	arcade	horizontal	joy	4	2
spcinv95	Space Invaders 4 95: The Attack Of Lunar Loonies		1995	4	8 way	Taito	arcade	vertical	joy+dial	8	4
spelunk2	Spelunker 2: 23 no Kagi		1986	2	8 way	Irem	arcade	horizontal	joy	8	2
spf2t	Super Puzzle Fighter II Turbo		1996	2	8 way	Capcom	arcade	horizontal	joy	8	2
spiders	Spiders		1981	2	4 way	Sigma Enterprises Inc.	arcade	vertical	joy	2	1
spidman	Spider-Man: The Videogame		1991	4	8 way	SEGA	arcade	horizontal	joy	8	2
spinlbrk	Spinal Breakers		1990	2	8 way	V-System Co.	arcade	horizontal	joy	8	3
spinmast	Spin Master		1993	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
splatter	Splatter House (World, new version		1988	2	8 way	Namco	arcade	horizontal	joy	8	3
spnchout	Super Punch-Out!!		1984	1	4 way	Nintendo	arcade	horizontal	joy	4	4
